ExpId,Id,Group,Sentence,Question,Corr
train,1,A,The instructor conducts the experiment via prolific.,Did the experiment happen in the lab?,ArrowLeft
train,2,A,Thank you very much for being here.,Is the experimenter thankful?,ArrowRight
train,3,A,We hope you enjoy this self-paced reading task.,Will you do a reading experiment?,ArrowRight
train,4,A,"Before we start, we hope you had a good Thanksgiving.",Was it Christmas last week?,ArrowLeft
train,1,B,The instructor conducts the experiment via prolific.,Did the experiment happen in the lab?,ArrowLeft
train,2,B,Thank you very much for being here.,Is the experimenter thankful?,ArrowRight
train,3,B,We hope you enjoy this self-paced reading task.,Will you do a reading experiment?,ArrowRight
train,4,B,"Before we start, we hope you had a good Thanksgiving.",Was it Christmas last week?,ArrowLeft
train,1,C,The instructor conducts the experiment via prolific.,Did the experiment happen in the lab?,ArrowLeft
train,2,C,Thank you very much for being here.,Is the experimenter thankful?,ArrowRight
train,3,C,We hope you enjoy this self-paced reading task.,Will you do a reading experiment?,ArrowRight
train,4,C,"Before we start, we hope you had a good Thanksgiving.",Was it Christmas last week?,ArrowLeft
train,1,D,The instructor conducts the experiment via prolific.,Did the experiment happen in the lab?,ArrowLeft
train,2,D,Thank you very much for being here.,Is the experimenter thankful?,ArrowRight
train,3,D,We hope you enjoy this self-paced reading task.,Will you do a reading experiment?,ArrowRight
train,4,D,"Before we start, we hope you had a good Thanksgiving.",Was it Christmas last week?,ArrowLeft
train,1,E,The instructor conducts the experiment via prolific.,Did the experiment happen in the lab?,ArrowLeft
train,2,E,Thank you very much for being here.,Is the experimenter thankful?,ArrowRight
train,3,E,We hope you enjoy this self-paced reading task.,Will you do a reading experiment?,ArrowRight
train,4,E,"Before we start, we hope you had a good Thanksgiving.",Was it Christmas last week?,ArrowLeft
train,1,F,The instructor conducts the experiment via prolific.,Did the experiment happen in the lab?,ArrowLeft
train,2,F,Thank you very much for being here.,Is the experimenter thankful?,ArrowRight
train,3,F,We hope you enjoy this self-paced reading task.,Will you do a reading experiment?,ArrowRight
train,4,F,"Before we start, we hope you had a good Thanksgiving.",Was it Christmas last week?,ArrowLeft
train,1,G,The instructor conducts the experiment via prolific.,Did the experiment happen in the lab?,ArrowLeft
train,2,G,Thank you very much for being here.,Is the experimenter thankful?,ArrowRight
train,3,G,We hope you enjoy this self-paced reading task.,Will you do a reading experiment?,ArrowRight
train,4,G,"Before we start, we hope you had a good Thanksgiving.",Was it Christmas last week?,ArrowLeft
train,1,H,The instructor conducts the experiment via prolific.,Did the experiment happen in the lab?,ArrowLeft
train,2,H,Thank you very much for being here.,Is the experimenter thankful?,ArrowRight
train,3,H,We hope you enjoy this self-paced reading task.,Will you do a reading experiment?,ArrowRight
train,4,H,"Before we start, we hope you had a good Thanksgiving.",Was it Christmas last week?,ArrowLeft
